,master,native-spline (post-port),native-spline-omp
n_loops,385.0,503.0,468.0
cycles/iter (arith mean),7.633030303030305,6.020242355391461,6.112496947496949
cycles/iter (median),4.0,3.0,3.45
cycles/iter (p25),1.5,1.2,1.0
cycles/iter (p75),8.0,6.0,6.25
"cycles/iter (full-vec, arith mean)",2.433981364825769,0.8638755616462774,0.7941594910961722
"cycles/iter (FP-vec, arith mean)",6.25354944248961,4.535135859496664,4.609238113702286
"cycles/iter (clean, arith mean)",6.071363636363637,4.552966250118336,4.540474409849409
IPC (harm mean),2.933248149961972,4.13925111192618,4.150474514258235
FLOP/cycle (harm mean),0.319561229654108,0.39913852324882176,0.3340563825052641
"Vec ratio % (geo mean, > 0)",63.60702585176153,47.32239695608714,47.54928784486252
"Vec ratio FP % (geo mean, > 0)",69.54995140456232,57.56148207278034,51.74076361191278
"Vec efficiency % (geo mean, > 0)",16.96602186729139,14.535209461032109,13.902996632429247
Arith intensity (median),0.0,0.0,0.0
n_loops with vec_ratio == 0,236.0,334.0,327.0
n_loops with vec_ratio >= 50%,110.0,103.0,85.0
